input_image,expected_plant,expected_disease
01.png,potato,blight
02.png,potato,blight
03.png,potato,blight
04.png,potato,blight
05.png,strawberry,scorch
06.png,strawberry,scorch
07.png,corn,rust
08.png,corn,rust
09.png,tomato,mold
10.png,tomato,mold
11.png,not plant,not plant
12.png,strawberry,scorch
13.png,potato,blight
14.png,tomato,mold
15.png,potato,blight
16.png,potato,blight
17.png,strawberry,scorch
18.png,strawberry,scorch
19.png,corn,rust
20.png,corn,rust
21.png,tomato,mold
22.png,tomato,mold
23.png,potato,blight
24.png,potato,blight
25.png,strawberry,scorch
26.png,strawberry,scorch
27.png,corn,rust
28.png,corn,rust
29.png,tomato,mold
30.png,tomato,mold